========== FILE: canara1m.pdf ==========


======= PAGE 1 =======

text='1'                                      x0=  561.7 x1=  568.3 top=  802.5 bottom=  814.5

======= PAGE 2 =======

text='Date'                                   x0=   43.6 x1=   68.9 top=   40.5 bottom=   52.5
text='Particulars'                            x0=  167.1 x1=  223.8 top=   40.5 bottom=   52.5
text='Deposits'                               x0=  320.6 x1=  367.2 top=   40.5 bottom=   52.5
text='Withdrawals'                            x0=  413.3 x1=  478.6 top=   40.5 bottom=   52.5
text='Balance'                                x0=  517.1 x1=  560.4 top=   40.5 bottom=   52.5
text='UPI/CR/532803889745/VAIBHAV'            x0=  106.6 x1=  286.1 top=   64.5 bottom=   76.5
text='I'                                      x0=  106.6 x1=  110.0 top=   76.5 bottom=   88.5
text='/SBIN/**VI379@OKAXIS/UPI//AX'           x0=  106.6 x1=  284.9 top=   88.5 bottom=  100.5
text='24-11-2025'                             x0=   26.6 x1=   87.9 top=  100.5 bottom=  112.5
text='I9BEC123AD5CA40229E8E698D'              x0=  106.6 x1=  286.1 top=  100.5 bottom=  112.5
text='125.00'                                 x0=  358.9 x1=  395.6 top=  100.5 bottom=  112.5
text='1,595.54'                               x0=  534.5 x1=  581.2 top=  100.5 bottom=  112.5
text='6E973CFF/24/11/2025'                    x0=  106.6 x1=  228.0 top=  112.5 bottom=  124.5
text='05:56:31'                               x0=  231.4 x1=  278.1 top=  112.5 bottom=  124.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  136.5 bottom=  148.5
text='532803889745'                           x0=  135.3 x1=  215.4 top=  136.5 bottom=  148.5
text='UPI/DR/622857769725/ETERNA'             x0=  106.6 x1=  282.7 top=  160.5 bottom=  172.5
text='L'                                      x0=  106.6 x1=  113.3 top=  172.5 bottom=  184.5
text='L/AIRP/**.PAYU@MAIRTEL/UPII'            x0=  106.6 x1=  284.2 top=  184.5 bottom=  196.5
text='NTENT//PPPL261538288422511'             x0=  106.6 x1=  284.1 top=  196.5 bottom=  208.5
text='25-11-2025'                             x0=   26.6 x1=   87.9 top=  202.5 bottom=  214.5
text='255.20'                                 x0=  453.7 x1=  490.4 top=  202.5 bottom=  214.5
